Gene name,Intron-containing gene?,Transcription frequency (mRNA/hour),"DNA:RNA hybrid density (mean, A.U.)"
YBR082C,yes,18.67452689,37.49548013
YDR214W,no,3.243252362,37.44260314
YHR193C,no,59.39007357,37.29399601
YKR039W,no,2.816083723,36.77886762
YPL106C,no,15.89808713,36.54448892
YBR196C,no,30.70878769,36.00706274
YMR071C,no,8.497179584,35.73412908
YBR048W,yes,66.39128584,35.65997265
YNL016W,no,6.052544153,35.65257876
YBR112C,no,2.667255442,35.60537954
YKR093W,no,5.346705211,35.166747
YLL008W,no,11.60977403,35.10125583
YOL127W,yes,78.50902534,34.83682846
YJL172W,no,1.997115958,34.82372709
YDL005C,no,1.539630716,34.47225614
YHR010W,yes,122.9194308,34.1430828
YDR275W,no,3.023304055,33.68887545
YDL061C,yes,58.21325899,33.54035078
YNL283C,no,7.19302369,33.35364311
YGL078C,no,22.64655758,32.76312219
YLR297W,no,6.175836777,32.72664828
YNR020C,no,3.13588732,32.59680848
YNL031C,no,111.7005969,32.36041271
YDL055C,no,55.7889585,32.2831775
YPL240C,no,1.511276675,31.459067
YBR162C,no,17.22198389,31.43508842
YDR365C,no,7.250571508,31.32278953
YKL028W,no,4.62493643,31.07004578
YLR318W,no,0.461427459,30.43728241
YOR276W,no,16.62958367,30.17064316
YGL226W,no,1.711294524,30.14176369
YMR277W,no,2.304456418,30.06780849
YKR041W,no,n.d.,29.63390981
YOL140W,no,2.285038182,29.59426048
YPR051W,no,4.107859317,29.2668529
YBL002W,no,28.94554071,29.12349094
YNR019W,no,0.801978141,28.73108728
YGR254W,no,48.11870113,28.47697344
YDL185W,no,10.46138994,28.3569067
YPL014W,no,n.d.,28.14096738
YIL069C,yes,63.41326053,27.93987766
YEL040W,no,44.10781952,27.90495303
YDR111C,no,1.21370326,27.8661172
YOR108W,no,8.120991935,27.82068853
YMR121C,no,2.555996471,27.73362164
YHR094C,no,40.98575057,27.30921534
YDL140C,no,4.537611592,27.28551429
YMR116C,yes,143.3594896,27.2346622
YGL225W,no,27.57082438,27.23371743
YGR068C,no,n.d.,27.21001546
YHR021C,yes,192.4084897,27.08130233
YJR009C,no,98.8951918,27.04700547
YKR061W,no,1.09921326,26.84642336
YKL032C,no,n.d.,26.54785571
YPL078C,no,9.396567085,26.51381803
YGL031C,yes,175.2786456,26.41928881
YHL010C,no,0.717385904,26.35334325
YER165W,no,14.25280925,25.90793451
YJL025W,no,1.210925095,25.37909147
YHR007C,no,33.964668,25.27622082
YEL036C,no,6.720727227,25.25881386
YKR013W,no,10.97871925,25.22964963
YGR027C,yes,30.74966752,25.00872263
YDL075W,yes,112.0508254,24.86328073
YDR247W,no,0.414784538,24.74786504
YBR231C,no,0.923119646,24.57282328
YPL146C,no,2.955803851,24.46585003
YJR045C,no,8.402431261,24.35984524
YLR367W,yes,23.88583768,24.30572126
YIL075C,no,5.532660131,24.20449894
YJL123C,no,6.622851252,24.08979629
YBR132C,no,0.160254492,23.85253562
YOR267C,no,1.888721535,23.81364925
YJR151C,no,0.873798823,23.68513832
YBL011W,no,2.64815943,23.66632903
YMR250W,no,n.d.,23.64874553
YFR037C,no,2.844736679,23.6449888
YKL087C,no,1.892696117,23.41790187
YJL079C,no,5.824933007,23.17046334
YOR229W,no,3.542895186,23.11931874
YLL039C,no,4.095311911,22.95912231
YOL060C,no,1.060240654,22.63849175
YDL161W,no,1.418341987,22.60763677
YHR077C,yes,1.388446232,22.12650096
YJR044C,no,4.429012743,21.91548964
YBR289W,no,0.34248874,21.90254498
YDR099W,yes,8.659397927,21.77615865
YMR227C,no,n.d.,21.71186776
YJR094W-A,yes,n.d.,21.6071677
YPL049C,no,4.555976397,21.35120024
YJR113C,no,1.963295892,21.21009154
YPL009C,no,1.335021494,21.16814859
YML073C,yes,53.89823562,21.14547551
YPL026C,no,2.906520427,21.11413156
YOL030W,no,5.584798119,21.1093899
YPR045C,no,0.328158727,21.06717231
YJR144W,no,6.348621945,20.76273531
YGL122C,no,5.938776743,20.67608581
YPL089C,no,1.784605748,20.35499762
YOR153W,no,30.62937287,20.19517469
YER046W,no,1.9806453,20.17444979
YGR240C,no,22.99862849,20.16563617
YDR145W,no,2.308144833,20.07480878
YOR054C,no,1.048117923,20.05306559
YPL094C,no,10.07635177,20.03288894
YOL066C,no,0.712691691,19.99950481
YMR070W,no,2.187123771,19.77612813
YBL099W,no,6.416149598,19.77014944
YNL069C,yes,75.45260019,19.62354193
YLR056W,no,42.50957168,19.58812574
YKL055C,no,0.592206297,19.53647714
YHR161C,no,1.324592691,19.358638
YNL261W,no,1.308460119,19.3505452
YAL015C,no,0.777506493,19.10756289
YPR165W,no,18.07558794,19.05436587
YEL047C,no,2.870515459,18.90595297
YDR080W,no,0.770730081,18.74772987
YML041C,no,0.549790172,18.66908323
YGR234W,no,56.31472828,18.65315487
YAL016W,no,4.517794321,18.52522557
YKL079W,no,n.d.,18.30286599
YBR011C,no,12.67004641,18.28035629
YNL075W,no,12.00101395,18.26297602
YNL058C,no,2.475590232,18.18254592
YLR278C,no,1.410571496,18.16168687
YOR370C,no,4.16798174,17.68461072
YGR106C,no,18.41357559,17.64629644
YML056C,yes,31.87617695,17.61788869
YDR346C,no,8.259167923,17.60400861
YPL263C,no,4.470333918,17.49549648
YOR239W,no,2.667153866,17.4380845
YDL007W,no,13.72408824,17.43793631
YCL045C,no,1.92193988,17.20450827
YDL106C,no,0.284970665,17.19521699
YDR233C,no,40.39416651,16.8692527
YMR205C,no,20.0234826,16.79447287
YNL190W,no,13.32783302,16.76962102
YHR189W,no,n.d.,16.33065316
YDR345C,no,37.45647662,16.31211702
YOR372C,no,0.601605425,16.22963078
YEL009C,no,59.39382084,16.14472885
YBL055C,no,2.266087881,16.12706789
YDR213W,no,1.125809945,15.80911495
YBR025C,no,26.42841274,15.74341917
YGR122W,no,n.d.,15.29287805
YMR079W,yes,7.337150828,15.1871947
YER110C,no,5.371114724,15.05646694
YJL051W,no,0.634485343,14.92748301
YBL056W,no,3.117530975,14.84423294
YKL117W,no,18.44456071,14.77167638
YJL171C,no,2.064582737,14.55825441
YDL126C,no,19.82432455,14.4073824
YBR118W,no,89.62803269,14.40629925
YMR164C,no,0.579633953,14.35918482
YLR441C,no,95.72330254,14.2949427
YER031C,no,7.762885169,14.10236603
YIL018W,yes,164.4441431,13.86912405
YGL194C-A,no,n.d.,13.84927387
YPL160W,no,14.59636567,13.59236984
YOL139C,no,40.12105787,13.55462312
YLR151C,no,0.521572693,13.48082722
YDR069C,no,0.289843221,13.24898883
YBR128C,no,0.274740363,13.22933067
YNR051C,no,0.846952455,13.19876715
YLR176C,no,n.d.,12.97249571
YHR190W,no,7.245581793,12.9348546
YEL013W,no,2.719430166,12.87591181
YPR173C,no,4.439927193,12.75952616
YPL105C,no,2.741529367,12.62982269
YOR334W,no,0.727709944,12.60535071
YAL005C,no,27.37199814,12.49292699
YOL051W,no,3.93015017,12.13957223
YDR172W,no,16.39918657,12.03155774
YOR349W,no,0.396469265,11.80076876
YJR145C,yes,81.17388522,11.77424025
YMR291W,no,0.832004769,11.76353026
YKR046C,no,n.d.,11.71772841
YIR023W,no,1.57867312,11.64810468
YHR139C,no,0.264706544,11.47588533
YBL095W,no,1.443674953,11.47350604
YDR228C,no,1.769316145,11.45338237
YIL078W,no,39.31058303,11.27283697
YJL147C,no,n.d.,11.22689035
YMR290C,no,7.179931322,11.11704295
YLR028C,no,7.44612735,11.05232013
YAL021C,no,3.258966348,11.02666646
YGL054C,no,17.69819639,10.9802781
YOR353C,no,0.492916745,10.84342296
YGL009C,no,7.893201061,10.73848236
YMR072W,no,6.212622222,10.72206376
YMR303C,no,2.901872823,10.36114367
YDR081C,no,n.d.,10.21871793
YGL150C,no,1.643945673,10.1175456
YER123W,no,1.041128629,10.0982798
YIL105C,no,1.430938944,10.0369966
YNL074C,no,0.361051886,9.983760224
YGL139W,no,2.786150673,9.846124541
YDL065C,no,1.784260769,9.791630985
YBL003C,no,69.2951497,9.782659482
YOR375C,no,10.48382828,9.691870151
YKL064W,no,0.613140188,9.504275895
YKL081W,yes,21.10724074,9.487433278
YLL024C,no,53.42529747,9.482377415
YIL107C,no,n.d.,9.071625126
YGR162W,no,10.3211622,9.053412888
YER025W,no,18.28501024,8.993891684
YNR047W,no,0.486251816,8.731491549
YER073W,no,7.207924294,8.691181621
YBL010C,no,0.640684702,8.237865674
YHR027C,no,6.356741332,8.191537769
YHR192W,no,2.76023335,8.13430768
YPR145W,no,33.95424016,8.102662198
YGR175C,no,29.20784321,8.05970762
YDR383C,no,0.709321183,7.774768987
YML123C,no,12.27614325,7.627032431
YLL026W,no,4.173146129,7.361040985
YBR161W,no,0.914391951,7.115118034
YNL268W,no,13.49547341,7.066075554
YJL130C,yes,19.65280346,7.011291606
YGR077C,no,3.122215151,6.921502241
YLR074C,no,11.14751731,6.847491317
YNL146W,no,0.59804557,6.760979619
